authors,title,author1,author2,organization,year,journal,keyFindings,metaDescription,onePageSummary,link,pillar,subpillar,solution,subcategory,file
Muffett & Feit,Smoke and Fumes: The Legal and Evidentiary Basis for Holding Big Oil Accountable for the Climate Crisis,"Muffett, Carroll ","Feit, Steven ",,2017,Center for International Environmental Law,"Driven by fossil fuel emissions climate change threatens ecosystems and human rights. This report investigates what fossil fuel companies knew about climate risks when they knew it, and their actions. Evidence shows that fossil fuel companies were aware of the climate risks posed by their products for over six decades. By the 1950s, they studied carbon emissions, and by the 1960s, they knew their products exacerbated climate change. Despite opportunities to mitigate harm, they prioritized profit and conducted campaigns to discredit climate science. The report highlights the legal and moral grounds to hold these companies accountable globally.",Fossil fuel firms knew since the 1950s that their products fueled climate change. They prioritized profit over action despite clear risks (Muffett & Feit).,,https://www.ciel.org/wp-content/uploads/2017/11/Smoke-Fumes-FINAL.pdf,,,,,
Müller et al.,Soundscapes and deep learning enable tracking biodiversity recovery in tropical forests,"Müller, Jörg","Mitesser, Oliver ","Department of Animal Ecology and Tropical Biology, Biocenter, University of Würzburg",2023,Nature Communications,"Tropical forest recovery is crucial for tackling climate and biodiversity crises. This study in Ecuador used bioacoustics and metabarcoding to assess forest restoration after agriculture. Results showed that vocalizing vertebrate community composition, not species richness, reflected recovery. Automated tools like acoustic indices and neural networks effectively tracked recovery, correlating with insect composition, providing robust monitoring methods.","Forest recovery is vital for climate and biodiversity. Automated tools track restoration through species makeup, offering strong methods for eco monitoring (Müller et al).",,https://www.nature.com/articles/s41467-023-41693-w,,,,,
Myers et al.,Increasing CO2 threatens human nutrition,"Myers, Samuel S. ","Zanobetti, Antonella ",Harvard University Center for the Environment,2016,Nature,"Dietary deficiencies of zinc and iron affect 2B people globally, causing significant health impacts. This study shows that C3 crops (grains and legumes) grown under elevated CO2 levels predicted for mid-century have lower zinc, iron, and protein concentrations. C4 crops are less affected. Breeding crops with reduced CO2 sensitivity could mitigate these effects.","Higher CO2 cuts zinc, iron and protein in C3 grains and legumes, worsening global shortage. Breeding crops with less CO2 sensitivity could help solve this (Myers et al).",,https://www.nature.com/articles/nature13179,,,,,
Naidoo et al.,Evaluating the impacts of protected areas on human well-being across the developing world,"Naidoo, R. ","Gerkey, D. ","Institute for Resources, Environment, and Sustainability, University of British Columbia",2019,Science Advances,"Protected areas (PAs) are crucial for biodiversity and can benefit nearby communities. Analyzing data from over 87,000 children and 60,000 households in 34 developing countries, the study found that households near PAs with tourism had 17% higher wealth, 16% less poverty, and improved child health (10% higher height-for-age and 13% less stunting). No negative impacts of PAs were observed.","Protected areas boost biodiversity and benefit communities, improve wealth, reduce poverty, and enhance child health without showing negative impacts (Naidoo et al).",,https://advances.sciencemag.org/content/5/4/eaav3006.full,,,,,
"Narango et al.
",Few keystone plant genera support the majority of Lepidoptera species,"Narango, Desiree L.","Tallamy, Douglas W. ","Department of Biology, University of Massachusetts",2020,Nature Communications,"Functional food webs rely on coevolved plant-consumer interactions. This study of U.S. plant-Lepidoptera interactions shows that a small percentage of plant genera support most Lepidoptera species, regardless of geography. These ""keystone"" plants are crucial for maintaining interaction diversity. Effective restoration of degraded landscapes must include these key plants to support ecosystem function.","Food webs rely on key plant-Lepidoptera ties. Few plant genera support most Lepidoptera, making them vital for effective ecosystem recovery (Narango et al).",,https://www.nature.com/articles/s41467-020-19565-4,,,,,
Wessler et al.,Science Breakthroughs to Advance Food and Agricultural Research by 2030,"Wessler, Susan R. ","Floros, John D.",NAS,2018,NAS,"The U.S. agricultural system, while historically productive, now faces sustainability, resilience, and climate-related challenges. Signs of environmental stress, high food waste, and emissions from expanding animal agriculture threaten its future. Food safety and biosecurity remain vulnerable to persistent pathogens and pests. To safeguard long-term viability, farmers need innovative tools. The 2030 science roadmap highlights transformative breakthroughs across disciplines that could significantly enhance efficiency, sustainability, and resilience in food and agriculture within the next decade.","U.S. agriculture faces climate stress, waste, emissions, and biosecurity threats; science breakthroughs offer sustainable solutions by 2030 (Wessler et al).",,https://download.nap.edu/cart/download.cgi?record_id=25059,,,,,
Schimel et al.,NASA Finds Good News on Forests and Carbon Dioxide,"Schimel, David ","Fisher, Joshua",NASA Jet Propulsion Laboratory,2017,NASA,"Tropical forests absorb 1.4B GtCO2 out of a total global absorption of 2.5 GtCO2, or 56% of total terrestrial sinks (about 17% of global CO2 emissions). Forests and other land vegetation currently remove up to 30% of human carbon dioxide emissions from the atmosphere during photosynthesis.",Tropical forests absorb 1.4B GtCO₂—56% of land sinks—helping remove up to 30% of human CO₂ emissions via photosynthesis. Vital carbon sinks (Schimel et al).,,https://science.nasa.gov/earth/climate-change/greenhouse-gases/nasa-finds-good-news-about-forests-and-carbon-dioxide/,,,,,
National Parks Service,What is a pollinator?,National Parks Service,,,2018,National Parks Service,"Pollinators transfer pollen from a flower's male part to its female part, enabling fertilization and plant reproduction. Some plants self-pollinate, while others rely on wind, water, or animals like bees, butterflies, birds, and bats. Insects and animals visit flowers for food or shelter, often transferring pollen either intentionally or accidentally, aiding in pollination.","Pollinators like bees, birds, and bats transfer pollen, aiding plant reproduction. Some do so intentionally, while others move pollen by accident (National Parks Service).",,https://www.nps.gov/subjects/pollinators/what-is-a-pollinator.htm,,,,,
Nature Communications,The price of fast fashion,Nature Communications,,,2018,Nature Communications,"The fast fashion industry significantly impacts the environment, contributing to high carbon emissions and waste. Increased clothing production, rapid consumption, and short garment lifespans exacerbate pollution. Textiles produce over 1.2B tonnes of CO2e yearly, surpassing emissions from air and sea transport. Polyester production, reliant on fossil fuels, has a higher carbon footprint than cotton, though both have environmental drawbacks. Recycling efforts and a shift toward slow fashion, advocating for durable, long-lasting garments, can mitigate these impacts. Collaborative action from consumers, businesses, and governments is essential for reducing the fashion industry's environmental footprint.","Fast fashion increases waste and emissions. Made from fossil fuels, polyester worsens pollution. Upcycling and slow fashion help reduce the footprint.",,https://doi.org/10.1038/s41558-017-0058-9,,,,,
Nave et al.,Role of reforestation in carbon sequestration,"Nave, L. E. ","Walters, B. F. ","Department of Ecology and Evolutionary Biology, University of Michigan",2019,New Forests,"Reforestation in the U.S. boosts carbon (C) sequestration, aiding climate change mitigation and ecosystem services. Soils hold the largest C pools, and reforested areas, especially on historically cultivated lands, are storing significant C, though they haven't reached their full potential. Reforestation provides multi-decadal benefits by increasing C storage in biomass and soils, varying by region. A targeted, phased reforestation approach can improve C sequestration for decades to centuries, making it essential to expand reforestation efforts to maintain ecosystem functions and combat CO2 pollution.","Reforestation boosts carbon storage in U.S. soil and biomass, helping climate action.  With focus it can increase C storage and support ecosystem services (Nave et al).",,https://link.springer.com/article/10.1007/s11056-018-9655-3,,,,,
"Nijsse et al. 
","The momentum of the solar energy transition

","Nijsse, Femke J. M. M. 
","Mercure, Jean-Francois ","Department of Geography, University of Exeter",2023,Nature Communications,"Global decarbonization efforts require zero-carbon energy by 2050 or 2060. Solar energy, the most abundant source, may have passed a tipping point to dominate global electricity markets due to past policies. Challenges remain in grid stability, financing, supply chains, and political resistance. Addressing these barriers could accelerate the clean energy transition.","Global decarbonization needs zero-carbon energy by 2050, with solar leading. Issues include grid stability, funding, supply chains, and political pushback (Nijsse et al).",,https://www.nature.com/articles/s41467-023-41971-7,,,,,
Noon et al.,Mapping the irrecoverable carbon in Earth’s ecosystems,"Noon, Monica L. ","Goldstein, Allie ",Conservation International,2021,"Nature
Sustainability","Rapid decarbonization and ecosystem protection are essential to avoid catastrophic climate change. Irrecoverable carbon, stored in ecosystems like peatlands, mangroves, and old-growth forests, cannot be restored by mid-century if lost. Since 2010, 4.0 Gt of irrecoverable carbon has been released, with 139.1 Gt at risk. Protecting key areas, including those managed by Indigenous communities, is crucial for climate security, as half of this carbon is concentrated in just 3.3% of Earth's land.",Fast decarbonization and protecting irrecoverable carbon are key to avoiding climate disaster with half in just 3.3% of Earth's land (Noon et al).,,https://www.nature.com/articles/s41893-021-00803-6,,,,,
"National Academies of Sciences, Engineering, and Medicine",Negative Emissions Technologies and Reliable Sequestration: A Research Agenda,"National Academies of Sciences, Engineering, and Medicine",,,2019,"National Academies of Sciences, Engineering & Medicine","As CO2 levels rise, policymakers are focusing on reducing emissions and removing CO2 from the atmosphere. This report examines methods to create or enhance carbon sinks in land and coastal areas. Storing CO2 in these reservoirs reduces atmospheric CO2, helping mitigate climate change, similar to emission prevention. Enhancing carbon sinks should be part of net emissions reduction strategies. Removing CO2 from the atmosphere has the same climate benefit as preventing the emission of an equivalent amount of CO2.","As CO2 levels rise, enhancing land and coastal carbon sinks reduce atmospheric CO2 offering the same climate benefit as preventing equivalent emissions.",,https://www.nap.edu/catalog/25259/negative-emissions-technologies-and-reliable-sequestration-a-research-agenda,,,,,
O'Leary et al.,Effective Coverage Targets for Ocean Protection,d,"Winther-Janson, Marit ","Environment Department, University of York",2016,Conservation Letters,"The UN’s 10% marine protected areas (MPA) target by 2020 is insufficient to protect biodiversity and achieve environmental or socioeconomic goals. A review of 144 studies suggests that 21-30% of the sea should be protected, with an average recommendation of 37%. Only 3% of objectives were met with ≤10% coverage, but 81% were achieved with over 50% protected.",The UN's 10% MPA target is insufficient for biodiversity and socioeconomic goals. Studies suggest 21-30% sea protection with an average of 37% (O'Leary et al).,,https://doi.org/10.1111/conl.12247,,,,,
Oldfield et al.,Crediting agricultural soil carbon sequestration,"Oldfield, Emily E.","Eagle, Alison J. ",Environmental Defense Fund,2022,Science,"The voluntary carbon market is expanding, with protocols to pay farmers for sequestering carbon in agricultural soils. A review of 12 soil organic carbon (SOC) MRV protocols reveals key differences in measuring SOC, GHG reductions, and addressing accounting issues like additionality and permanence. These variations risk creating nonequivalent credits, undermining program integrity. A regionally consistent framework is suggested to ensure transparent, robust, and standardized SOC credit generation.","The expanding carbon market pays farmers for soil carbon capture, but gaps in soil organic carbon measurement and accounting threaten credit reliability (Oldfield et al).",,https://www.science.org/doi/10.1126/science.abl7991,,,,,
Olsson et al.,"Climate Change and Land, Chapter 4: Land Degradation","Olsson, Lennart","Barbosa, Humberto ",,2019,IPCC,"This study explores how climate change and land degradation interact, focusing on non-drylands. It reviews land degradation processes, trends, and future projections, assessing how climate mitigation efforts, like bioenergy and carbon dioxide removal, impact land degradation. The chapter also evaluates how land degradation influences climate and affects human and natural systems. Sustainable land management practices—avoiding, reducing, and reversing degradation—are proposed, with eight case studies illustrating successful interventions. It concludes by identifying critical knowledge gaps and areas for further research, emphasizing the long-standing relationship between agriculture, land use, and environmental impacts.","This study looks at climate change impacts on non-dryland degradation, mitigation efforts and land management practices to avoid, reduce or reverse damage (Olsson et al).",,https://www.ipcc.ch/site/assets/uploads/2019/08/2e.-Chapter-4_FINAL.pdf,,,,,
Ortiz-Bobea et al.,Anthropogenic climate change has slowed global agricultural productivity growth,"Ortiz-Bobea, Ariel","Ault, Toby R. 
","Charles H. Dyson School of Applied Economics and Management, Cornell University",2021,Nature Climate Change,"Agricultural productivity growth has been impacted by anthropogenic climate change (ACC). Using an econometric model, the study shows ACC reduced global agricultural total factor productivity (TFP) by 21% since 1961, equivalent to losing seven years of growth. Warmer regions like Africa and Latin America experienced even greater reductions (26–34%), highlighting increased vulnerability to climate change.","Climate change cut global farm productivity by 21% since 1961, with losses up to 34% in warmer areas like Africa and Latin America, raising vulnerability (Ortiz-Bobea et al).",,https://www.nature.com/articles/s41558-021-01000-1,,,,,
Ory et al.,Soil Health and Organic Farming: Water Management and Water Quality,"Ory, Joanna","Schonbeck, Mark",,2017,Organic Farming Research Foundation,"Effective water management is vital in agriculture to handle both scarcity and excess. Inadequate water leads to crop failure; over-irrigation depletes aquifers and degrades soils. Excess moisture can cause nutrient loss, runoff, and greenhouse gas emissions. Organic practices like cover cropping and compost enhance soil health, improve water infiltration, and boost drought resilience. Research confirms organic systems retain more moisture and improve yields in drought. Climate extremes, such as California’s droughts and floods, highlight the need for resilient, soil-focused strategies. Integrated water and nutrient management reduces pollution and sustains soil life—key for long-term agricultural sustainability.","Efficient water use and healthy soils are key to farm resilience. Organic practices boost drought tolerance, reduce runoff, and protect yields (Ory et al).",,https://ofrf.org/wp-content/uploads/2019/09/Heller_Water_V3_WebRes2.pdf,,,,,
Ostfeld et al.,Tick-borne disease risk in a forest food web,"Ostfeld, Richard S.","Levi, Taal ",Cary Institute of Ecosystem Studies,2018,Ecology,"This study investigates the ecological drivers of zoonotic disease risk, particularly Lyme disease, using 19 years of data from southeastern New York. The abundance of acorns and rodents, alongside predator diversity and forest cover, significantly influences tick infection rates. Acorn-driven rodent increases boost tick populations, while diverse predators, especially bobcats, reduce pathogen prevalence. Climate conditions like warm, dry winters further reduce infected tick density. The study underscores the importance of both bottom-up (food resources) and top-down (predation) ecological interactions in managing tick-borne diseases and highlights ecological indicators for disease prevention.","Acorn abundance, rodent numbers, predator diversity and climate are linked to tick-borne disease risk, stressing bottom-up and top-down ecological drivers (Ostfeld et al).",,https://doi.org/10.1002/ecy.2386,,,,,
P. McMahon,Investment case for ecological farming,"McMahon, Paul",,SLM Partners,2016,SLM,"Ecological and regenerative farming presents a compelling investment opportunity by mitigating risks inherent in industrial agriculture, such as volatile input costs, soil degradation, climate vulnerability, and shifting consumer trends. Proven ecological systems—like holistic grazing, no-till cropping, and agroforestry—enhance natural capital, increase resilience, and improve profitability with lower volatility. These systems sequester carbon, align with climate policies, and access premium markets. Investors can capitalize on land regeneration and sustainable food production by backing skilled operators or forming partnerships. Scaling ecological farming offers superior risk-adjusted returns while delivering positive environmental impacts, making it a strategic choice for sustainable investment.","Ecological farming boosts resilience, cuts costs, restores land, and offers high returns, aligning with climate goals and shifting consumer demand (P. McMahon).",,https://static1.squarespace.com/static/651547609b95501c64972f52/t/6515cd7ff7866f1092c2ebca/1695927685038/SLM+Research+-+Investment+Case+for+Ecological+Farming.pdf,,,,,
Palfrey et al.,Privately protected areas increase global protected area coverage and connectivity,"Palfrey, Rachel ","Oldekop, Johan A. ",The University of Leeds,2022,Nature Ecology & Evolution,"This study assesses the role of privately protected areas (PPAs) in conservation across 15 countries. PPAs are more likely to be in under-protected biomes and areas of high human disturbance, protect 1.2% more key biodiversity areas, account for 3.4% of protected land, and increase network connectivity by 7.05%. The findings highlight PPAs' unique contributions to biodiversity conservation and the need for greater recognition and support for their effective management.","Privately protected areas help conservation by protecting marginalized biomes, key biodiversity areas, and improving connectivity (Palfrey et al).",,https://www.nature.com/articles/s41559-022-01715-0,,,,,
Paniagua-Ramierez et al.,"Carbon storage estimation in a secondary tropical forest at CIEE Sustainability Center, Monteverde, Costa Rica","Paniagua-Ramierez, Alexandra","Krupinska, Oliwia",Council On International Educational Exchange,2021,Scientific Reports,"A study in Monteverde, Costa Rica, evaluated carbon sequestration in a 50-hectare secondary growth tropical rainforest as part of a Carbon Neutrality Program. The forest, aged around 50 years, is located at 1100 m elevation. Two 1-hectare plots were sampled, measuring trees with a diameter ≥10 cm. The estimated total CO2 sequestered by the forest was 18,210 tons in 2019, highlighting its role as a significant carbon sink.","A 50-hectare secondary rainforest in Monteverde, Costa Rica sequestered 18,210 tons of CO2 in 2019 highlighting it as a significant carbon sink (Paniagua-Ramierez et al).",,https://www.nature.com/articles/s41598-021-03004-5,,,,,
Park et al.,Keeping global warming within 1.5 °C constrains emergence of aridification,"Park, Chang-Eui ","Jeong, Su-Jong ","School of Environmental Science and Engineering, Southern University of Science and Technology",2018,Nature Climate Change,"This study estimates the Time of Emergence for Aridification (ToEA) using 27 climate models under RCP4.5 and RCP8.5. Aridification is projected to affect 32% (RCP4.5) and 24% (RCP8.5) of land before a 2°C global temperature rise. Limiting warming to 1.5°C could prevent aridification in two-thirds of affected regions, emphasizing the importance of early climate action to reduce widespread aridification and its impacts.",Aridification will impact 32% (RCP4.5) and 24% (RCP8.5) of land before 2°C warming. Keeping warming to 1.5°C prevents it in two-thirds of affected regions (Park et al).,,https://www.nature.com/articles/s41558-017-0034-4,,,,,
Parrott & Brock,"The ‘Push–Pull’ Farming System: Climate-smart, sustainable agriculture for Africa (PDF)","Parrott, Susan","Brock, Karen",Green Ink,2015,The International Centre of Insect Physiology and Ecology,"The push–pull technology has helped nearly 97,000 cereal-livestock farmers in Africa address critical issues such as poor soils, pests, the parasitic weed *Striga hermonthica*, and fodder shortages. Developed by icipe and partners, this holistic, science-based approach has significantly improved rural livelihoods. In 2011, a climate-smart variant using drought-tolerant plants was introduced, expanding its application to drier regions and crops like sorghum. Push–pull’s success has been widely documented and it aims to secure food for one million people in East Africa by 2020, supporting a sustainable green revolution.","Push–pull has helped 97,000 African farmers tackle poor soils, pests, Striga and fodder shortages. It now covers dry areas and sorghum to feed one million (Parrott & Brock).",,http://push-pull.net/planting_for_prosperity.pdf,,,,,
Pascual et al.,Diverse values of nature for sustainability,"Pascual, Unai ","Balvanera, Patricia ",Scientific Campus of the University of the Basque Country,2023,Nature,"Despite 25 years of progress in valuing ecosystem services, barriers like legal norms and market-driven policies still limit the inclusion of nature’s diverse values in decision-making. The Intergovernmental Platform on Biodiversity and Ecosystem Services (IPBES) assessed over 50,000 sources, proposing value-centered approaches to better integrate nature’s values. Addressing this ""values crisis"" is key to tackling biodiversity loss, climate change, and social injustices. These approaches aim to drive transformative changes for more just and sustainable futures, aligning with global agreements like the Kunming-Montreal Biodiversity Framework and UN Sustainable Development Goals.","Despite efforts, legal norms and market-focused policies limit valuing nature’s roles. IPBES suggests value-based approaches for fair, sustainable futures (Pascual et al).",,https://www.nature.com/articles/s41586-023-06406-9,,,,,
Paustian et al.,Climate-smart soils,"Paustian, Keith ","Lehmann, Johannes ",Colorado State University,2016,Nature,"Soils play a crucial role in ecosystem function and food production, with significant potential to mitigate greenhouse gas emissions. Although proven soil-based practices exist, their implementation is still limited, and accurate emission quantification remains challenging. Advances in research and technology offer opportunities for better integration of soils into climate policies. This study reviews current soil-based greenhouse gas research, summarizes mitigation practices, highlights data gaps, and suggests improvements through research and collaboration.","Soils are key for ecosystem function and greenhouse gas mitigation, with challenges in quantifying emissions (Paustian et al). ",,https://www.nature.com/articles/nature17174,,,,,
Paustian et al.,Quantifying carbon for agricultural soil management: from the current status toward a global soil information system,"Paustian, Keith ","Collier, Sarah ","Department of Soil and Crop Science, Colorado State University",2019,Carbon Management,"Building and maintaining soil carbon is crucial for soil health and CO2 mitigation. Reliable and cost-effective methods to quantify soil carbon stock changes and forecast responses to management, climate, and soil conditions are essential. While technology for soil carbon measurement exists, challenges like spatial variability and high costs persist. Models offer a practical solution for carbon quantification, supporting climate policies in countries like Australia and Canada. A global soil information system is proposed, integrating data-model frameworks, remote sensing, and crowd-sourced data to improve carbon sequestration efforts.","Soil carbon is key for soil health and CO2 mitigation. Reliable, cost-effective methods and models aid policies for carbon capture globally (Paustian et al). ",,https://www.tandfonline.com/doi/full/10.1080/17583004.2019.1633231,,,,,
Pearson et al.,Cryosphere1.5°: Where Urgency and Ambition Meet,"Pearson, Pam ",,ICCI,2019,Intl Cryosphere Initiative,"Governments must decide whether to take action to limit global warming to 1.5°C or risk exceeding it. Current Nationally Determined Contributions could lead to 3-4°C warming by the end of the century. The cryosphere—glaciers, snow, permafrost, and sea ice—is particularly sensitive to warming, and once temperatures exceed 1.5°C, irreversible changes will occur, leading to long-term impacts on sea levels and ecosystems. The report emphasizes that pathways to reduce emissions exist and urges immediate action to avoid catastrophic cryosphere-related climate change.","Governments must act to limit warming to 1.5°C or face 3-4°C by century's end. Cryosphere change will be irreversible, impacting sea levels and ecosystems (Pearson et al).",,http://iccinet.org/wp-content/uploads/2019/12/Cryosphere1-5_191211a_high-res.pdf,,,,,
Peters et al.,Climate–land-use interactions shape tropical mountain biodiversity and ecosystem functions,"Peters, Marcell K.","Hemp, Andreas ","Department of Animal Ecology and Tropical Biology, Biocenter, University of Würzburg",2019,Nature,"Interactions between climate and land use explained—on average—54% of the variation in species richness, species composition and ecosystem functions, whereas only 30% of variation was related to single drivers. This study reveals that climate can modulate the effects of land use on biodiversity and ecosystem functioning, and points to a lowered resistance of ecosystems in climatically challenging environments to ongoing land-use changes in tropical mountainous regions.","Climate and land use interactions explained 54% of ecosystem variation, single drivers 30%. Climate shapes land-use effects, lowering resilience in tropical mountains (Peters et al).",,https://www.nature.com/articles/s41586-019-1048-z,,,,,
Pollock et al.,Large conservation gains possible for global biodiversity facets,Pollock Laura J.,"Thuiller, Wilfried ",Université Grenoble Alpes,2017,Nature,"This study emphasizes the importance of protecting multiple facets of biodiversity—species, functional, and phylogenetic diversity—in birds and mammals. It shows that a 5% increase in protected land could significantly expand the protection of these biodiversity facets. However, conservation outcomes depend on chosen strategies, with global biodiversity protection requiring more land than local diversity. The study highlights that species and phylogenetic priorities are more aligned than functional ones, especially in birds. It provides a framework and tools to link conservation objectives with biodiversity metrics for more effective multi-faceted biodiversity protection.",Protecting species and phylogenetic diversity requires a 5% protected land increase (Pollock et al).,,https://www.nature.com/articles/nature22368,,,,,
Poore & Nemecek,Reducing food’s environmental impacts through producers and consumers,"Poore, J. ","Nemecek, T.","Department of Zoology, University of Oxford",2019,Science,"This study examines the environmental impacts of food production across 38,700 farms and 1,600 processors, packaging types, and retailers. It reveals a 50-fold variation in impacts among producers of the same product, highlighting significant mitigation opportunities. However, reducing impacts is complex due to trade-offs and supply chain interactions. Notably, even the lowest-impact animal products generally have higher environmental impacts than plant-based alternatives, emphasizing the need for dietary changes. The findings advocate for producers to monitor and report their impacts while adopting flexible practices to meet environmental goals.","Food impacts vary 50-fold among producers, with animal products exceeding plant-based ones. Monitoring and flexible practices are key to reducing impacts (Poore & Nemecek).",,http://science.sciencemag.org/content/360/6392/987,,,,,
Poorter et al.,Diversity enhances carbon storage in tropical forests,"Poorter, L. ","van der Sande, M. T. ","Forest Ecology and Forest Management Group, Wageningen University",2015,Global Ecology and Biogeography,"Tropical forests store 25% of global carbon and contain 96% of the world's tree species, but it was unclear if biodiversity affects carbon storage. Using data from 144,000 trees across 2050 plots in the Neotropics, this study found that aboveground biomass (AGB) is mainly driven by rainfall, tree diameter, and species richness. Biodiversity positively impacts AGB, especially at smaller scales, highlighting its importance for ecosystem functioning. The results emphasize the need to include biodiversity conservation in the UN's strategy for reducing emissions from deforestation and degradation.",Tropical forest biodiversity enhances carbon storage. Protecting biodiversity is key to cutting deforestation emissions (Poorter et al).,,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12364,,,,,
Potapov et al.,Global maps of cropland extent and change show accelerated cropland expansion in the twenty-first century,"Potapov, Peter ","Turubanova, Svetlana ","Department of Geographical Sciences, University of Maryland,",2021,Nature,"This study analyzes global cropland changes from 2003 to 2019 using satellite data. By 2019, cropland covered 1,244 Mha, with an annual net primary production (NPP) of 5.5 Pg C. Cropland area increased by 9% and NPP by 25%, driven mainly by expansion in Africa and South America. Half of the new cropland replaced natural vegetation, challenging ecosystem sustainability. Despite a 10% decrease in per-capita cropland area due to population growth, per-capita NPP rose by 3.5% through intensified agriculture. Provided is crucial data for tracking land use changes globally.","From 2003-2019 cropland grew 9% in Africa and South America, often replacing natural vegetation. Net primary production rose 3.5% through rigorous farming (Potapov et al).",,https://www.nature.com/articles/s43016-021-00429-z,,,,,
Poulsen et al.,Ecological consequences of forest elephant declines for Afrotropical forests,"Poulsen, John R.","Rosin, Cooper ",,2018,Conservation Biology,"Poaching is rapidly driving African forest elephants (Loxodonta cyclotis) to extinction, leading to vast areas of tropical forest without their ecological influence. Elephants are crucial for seed dispersal, nutrient cycling, and herbivory. Their decline will favor abiotically dispersed tree species, increase tree density, and reduce large tree recruitment, affecting forest structure and carbon stocks. Central African forests will become more homogeneous and resemble Neotropical forests, where megafauna were lost long ago. Stopping poaching and integrating elephant habitats into land-use planning are vital for forest conservation and mitigating these cascading ecological effects.","Poaching of forest elephants disrupts seed dispersal, nutrient cycles, and causes denser forests, altered species mix, and lower carbon stocks (Poulsen et al).",,https://www.ncbi.nlm.nih.gov/pubmed/29076179,,,,,
Poux & Aubert,"Agro-ecological Europe: a desirable, credible option to address food and environmental challenges","Poux, Xavier ","Aubert, Pierre-Marie ",ASCA,2018,IDDRI,"Europe's agricultural system faces growing pressure to transition towards sustainability. Current diets, high in sugar, protein, and low in fruits and vegetables, contribute to health issues and food dependency on imports. The TYFA scenario proposes eliminating pesticides, promoting agro-ecological practices, and adopting healthier diets with fewer animal products. Despite a 35% drop in production, it meets food needs, reduces agricultural GHG emissions by 40%, and restores biodiversity. Extensified livestock grazing enhances soil fertility, biodiversity, and climate mitigation, playing a crucial role in this sustainable approach.","Europe's food transition, via the TYFA plan, cuts GHG by 40%, restores biodiversity, and meets food needs through agro-ecology and better diets (Poux & Aubert).",,https://www.iddri.org/en/publications-and-events/issue-brief/agro-ecological-europe-desirable-credible-option-address-food,,,,,
Muller et al.,Overview chapter on soil degradation,"Müller, Karin","Oliver, Margaret","Sustainable Production, The New Zealand Institute for Plant and Food Research Limited",2023,Science Direct,"Soil degradation is accelerating globally due to human-driven factors, especially land mismanagement and overexploitation linked to population growth. Climate change, land-use shifts, and socio-political pressures create feedback loops that worsen degradation. Key processes include erosion, pollution, salinization, and biodiversity loss. The chapter outlines monitoring methods and innovative soil remediation strategies to restore land functionality.","Soil degradation is rising due to misuse, climate change, and pressures, with solutions in monitoring and innovative remediation strategies (Müller et al).",,https://www.sciencedirect.com/science/article/abs/pii/B9780128229743002706,,,,,
Prestele et al.,,"Prestele, Reinhard ","Hirsch, Annette L. ","Institute for Environmental Studies, Vrije Universiteit Amsterdam",2018,Global Change Biology,"Conservation agriculture (CA) is promoted as a sustainable practice to address issues like soil erosion, nutrient leaching, and water overuse in industrial farming. CA can also mitigate climate change by reducing greenhouse gas emissions and promoting sustainable soil and water use. However, the extent of CA adoption is uncertain. This study estimates that 9%-15% of global arable land is currently managed under CA, with future potential for up to 81% coverage. These estimates support ecosystem modeling and climate adaptation efforts, helping assess CA's realistic mitigation potential.","Conservation agriculture covers 9%-15% of global farmland tackles soil erosion, nutrient loss and climate change with potential to reach 81% in the future (Prestele et al).",,https://doi.org/10.1111/gcb.14307,,,,,
Pretty et al.,Global Assessment of Agricultural System Redesign for Sustainable Intensification,"Pretty, Jules N.","Benton, Tim G.",University of Essex,2018,Nature Sustainability,"Sustainable intensification (SI) of agriculture offers opportunities to enhance both agricultural productivity and natural capital. Efficiency and substitution help, but full system redesign is crucial as ecological and economic conditions shift. Analyzing 47 large-scale SI initiatives, the study estimates that 163M farms (29% globally) are practicing SI on 453M hectares (9% of global farmland). SI methods include integrated pest management, conservation agriculture, and irrigation management. While SI is making progress, challenges remain, such as scaling SI practices and creating agricultural knowledge economies. SI may be nearing a transformative tipping point.","Nearing a transformative point, sustainable intensification spans 163M farms and 453 Mha globally, using methods like conservation agriculture (Pretty et al). ",,https://www.nature.com/articles/s41893-018-0114-0,,,,,
R. Blakemore,Non-Flat Earth Recalibrated for Terrain and Topsoil,"Blakemore, Robert J. ",,,2018,VermEcology,"This study recalculates Earth's land surface from 15 Gha to over 64 Gha by accounting for topography, soil ruggedness, and micro-relief. Using satellite and LiDAR data, the study finds significant increases in surface area and soil organic carbon, estimating 8580 Gt SOC, much higher than current estimates. Global biomass and biodiversity are likely 2-3.5 times larger, and net primary productivity increases to over 270 Gt C/year. The findings highlight the importance of soil complexity and support the need for a ""Soil Ecology Institute"" to better understand land and carbon dynamics.","Earth expands from 15 Gha to 64 Gha accounting for topographyraising soil carbon to 8580 gigatons, increasing biomass, biodiversity and net productivity (R. Blakemore).",,https://www.mdpi.com/2571-8789/2/4/64/htm,,,,,
